                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0162,                   0.83,                 1.0609,                0.88014,                0.92972,                0.94931,                0.70876,                0.90524,                0.49678,                 1.0164,              0.0001308,              0.0001308,              0.0001308
                     94,                 1.0151,                0.81913,                 1.0597,                0.89064,                 0.9118,                0.95035,                0.71233,                 0.9026,                0.49391,                 1.0132,              0.0001286,              0.0001286,              0.0001286
                     95,                 1.0205,                0.82906,                 1.0635,                0.88275,                0.92214,                0.94958,                0.71218,                0.90342,                0.49405,                 1.0145,             0.00012641,             0.00012641,             0.00012641
                     96,                 1.0173,                0.82097,                 1.0624,                0.89221,                0.92462,                0.95081,                0.71491,                0.89677,                0.49059,                 1.0111,             0.00012421,             0.00012421,             0.00012421
                     97,                  1.018,                0.82515,                 1.0631,                0.88606,                0.93178,                0.95081,                0.71145,                0.89478,                0.49235,                 1.0101,             0.00012201,             0.00012201,             0.00012201
                     98,                 1.0111,                0.81992,                 1.0609,                0.89508,                0.92699,                0.95284,                0.71688,                0.89759,                 0.4862,                 1.0104,             0.00011981,             0.00011981,             0.00011981
                     99,                 1.0072,                0.81049,                 1.0567,                 0.8801,                 0.9234,                  0.947,                0.71336,                0.89815,                0.48938,                 1.0103,             0.00011762,             0.00011762,             0.00011762
                    100,                 1.0116,                0.81414,                 1.0628,                0.88377,                0.92562,                0.95034,                0.71263,                0.90314,                 0.4906,                 1.0129,             0.00011542,             0.00011542,             0.00011542
                    101,                 1.0092,                0.80511,                 1.0568,                0.88704,                0.93601,                0.95033,                0.71019,                 0.8992,                0.48566,                  1.011,             0.00011322,             0.00011322,             0.00011322
                    102,                 1.0064,                0.80694,                 1.0537,                0.89735,                0.92279,                0.94983,                0.71181,                0.89865,                0.48585,                 1.0103,             0.00011102,             0.00011102,             0.00011102
                    103,                 1.0055,                0.81025,                 1.0586,                0.87867,                0.93578,                0.95138,                0.71528,                0.89509,                0.48206,                 1.0085,             0.00010882,             0.00010882,             0.00010882
                    104,                  1.001,                0.80172,                 1.0543,                0.89165,                 0.9264,                0.95133,                0.71712,                0.89407,                0.48301,                 1.0092,             0.00010663,             0.00010663,             0.00010663
                    105,                0.99551,                0.79606,                 1.0493,                0.89832,                0.92384,                0.95316,                0.71914,                0.88903,                0.48045,                 1.0063,             0.00010443,             0.00010443,             0.00010443
                    106,                 1.0003,                0.79029,                 1.0534,                0.91086,                0.91343,                0.95218,                0.71579,                0.89042,                0.47854,                 1.0069,             0.00010223,             0.00010223,             0.00010223
                    107,                0.99367,                0.79439,                 1.0557,                0.88852,                0.92885,                0.95245,                0.71963,                0.88624,                0.47811,                 1.0053,             0.00010003,             0.00010003,             0.00010003
                    108,                 1.0039,                0.80089,                 1.0549,                0.90588,                 0.9107,                0.95314,                 0.7177,                0.89005,                 0.4793,                 1.0059,             9.7835e-05,             9.7835e-05,             9.7835e-05
                    109,                0.99818,                0.79525,                 1.0516,                0.89704,                0.92458,                0.95472,                0.71926,                0.88927,                0.47796,                 1.0063,             9.5638e-05,             9.5638e-05,             9.5638e-05
                    110,                0.99644,                0.79251,                 1.0529,                0.90062,                0.91969,                0.95317,                0.71709,                0.89213,                0.47652,                 1.0064,              9.344e-05,              9.344e-05,              9.344e-05
                    111,                0.99073,                0.78238,                 1.0503,                0.90291,                0.92053,                0.95417,                 0.7186,                0.88745,                0.47699,                 1.0065,             9.1242e-05,             9.1242e-05,             9.1242e-05
                    112,                0.98765,                0.78525,                 1.0494,                 0.9016,                 0.9236,                0.95562,                  0.721,                 0.8862,                0.47408,                 1.0049,             8.9044e-05,             8.9044e-05,             8.9044e-05
                    113,                0.98844,                0.78295,                 1.0473,                0.90008,                0.93109,                0.95857,                0.72523,                0.88214,                0.47079,                 1.0032,             8.6846e-05,             8.6846e-05,             8.6846e-05
                    114,                 0.9884,                0.78147,                 1.0465,                0.88535,                0.94285,                0.95578,                0.72139,                0.88227,                0.47237,                 1.0024,             8.4649e-05,             8.4649e-05,             8.4649e-05
                    115,                0.98363,                 0.7775,                 1.0465,                0.90923,                0.92082,                0.95787,                0.72488,                 0.8833,                0.46943,                 1.0029,             8.2451e-05,             8.2451e-05,             8.2451e-05
                    116,                0.99137,                0.79125,                 1.0485,                0.89727,                0.92346,                0.95633,                0.72438,                0.88237,                0.47111,                 1.0031,             8.0253e-05,             8.0253e-05,             8.0253e-05
                    117,                0.98555,                0.77652,                 1.0455,                0.90458,                0.92831,                0.95712,                0.72301,                0.88529,                0.47191,                 1.0039,             7.8055e-05,             7.8055e-05,             7.8055e-05
                    118,                0.98065,                0.77419,                 1.0433,                0.88631,                0.94083,                0.95656,                0.72333,                 0.8871,                 0.4697,                 1.0035,             7.5857e-05,             7.5857e-05,             7.5857e-05
                    119,                0.98118,                0.77119,                  1.042,                0.87729,                0.95256,                0.95795,                0.72476,                0.88735,                 0.4695,                 1.0051,              7.366e-05,              7.366e-05,              7.366e-05
                    120,                 0.9854,                0.77515,                 1.0456,                0.90273,                0.92844,                0.95761,                0.72615,                0.88314,                0.46835,                 1.0025,             7.1462e-05,             7.1462e-05,             7.1462e-05
                    121,                0.98373,                0.77631,                  1.047,                0.90103,                0.93317,                0.95772,                0.72677,                0.88205,                0.46771,                 1.0017,             6.9264e-05,             6.9264e-05,             6.9264e-05
                    122,                0.98048,                 0.7785,                 1.0463,                0.89742,                 0.9373,                0.95641,                0.72458,                0.88291,                0.46966,                 1.0017,             6.7066e-05,             6.7066e-05,             6.7066e-05
                    123,                0.97849,                0.77086,                 1.0447,                0.91199,                0.92635,                 0.9579,                0.72701,                0.88195,                0.46658,                 1.0009,             6.4868e-05,             6.4868e-05,             6.4868e-05
                    124,                0.97656,                0.76701,                 1.0413,                0.89862,                0.93473,                0.95606,                0.72571,                0.88392,                0.46768,                 1.0013,             6.2671e-05,             6.2671e-05,             6.2671e-05
                    125,                0.98089,                0.77221,                 1.0451,                0.91056,                0.91719,                0.95593,                0.72494,                0.88293,                0.46776,                  1.001,             6.0473e-05,             6.0473e-05,             6.0473e-05
                    126,                0.97269,                0.75908,                 1.0406,                0.90808,                0.92742,                 0.9594,                0.72802,                0.88222,                0.46654,                 1.0014,             5.8275e-05,             5.8275e-05,             5.8275e-05
                    127,                0.97531,                0.75969,                 1.0408,                0.90988,                0.92652,                0.95865,                0.72794,                0.88317,                0.46408,                 1.0015,             5.6077e-05,             5.6077e-05,             5.6077e-05
                    128,                0.97554,                0.76483,                 1.0401,                0.90572,                0.94058,                 0.9588,                0.72607,                0.88287,                0.46339,                 1.0006,             5.3879e-05,             5.3879e-05,             5.3879e-05
                    129,                0.96954,                0.75542,                 1.0347,                0.90572,                0.94189,                0.96128,                0.72773,                0.88192,                 0.4604,                  1.001,             5.1682e-05,             5.1682e-05,             5.1682e-05
                    130,                0.97137,                0.75888,                 1.0364,                0.90571,                0.94351,                0.96007,                0.72914,                0.88107,                0.46022,                 1.0008,             4.9484e-05,             4.9484e-05,             4.9484e-05
